Applied On,Collected On,Anonymized Contact ID,Posting ID,Team,Department,Commitment / Work Type,Location,Origin,Sources,Current Stage,Current Stage ID,Application Archive Reason,Application Archived On,Application Archived By,Survey Id,Survey Name,Survey Location Type,Posting Title,Posting Owner,Posting Hiring Manager,Candidate Selected Location,Stage - New lead,Stage - Reached out,Stage - Responded,Stage - New applicant,Stage - Under review,Stage - Recruiter Screen,Stage - Hiring Manager Screen,Stage - 1st Round,Stage - 2nd Round,Stage - Decision,Stage - Offer,How satisfied were you with your Screening call? - de09e7f8-4e8c-498d-9ccb-237788b735d0,How satisfied are you with the way you were treated? - 05c18285-2750-479f-8afc-d560b66f552c,"Overall, how satisfied were you with your interviewing experience? - 693b0a81-d4e7-40a2-9135-7fc38fa43eaf",What suggestions would you make to improve our interview process? - 21866cc4-7d8f-47da-97df-9efdfcbe083d,How satisfied are you with your interviews with the Hiring Manager and Team? - 605b085d-5bba-4668-babc-17dc8304e06c,How satisfied were you with the interview feedback you received? - e30211c6-d32d-4f89-95fc-dfb91bb47033,How satisfied are you with the ease of the application process? - 513b2b55-b818-4f03-bf6f-e82b180c9e60,How satisfied were you with the interview materials you received? - 4158aafc-ce92-4d35-930f-2f5451455a4d,How satisfied were you with our communication during the recruiting process? - e8c5e9ae-38de-4acb-855c-8d18039b1f5c,Do you have any thoughts or comments that you would like to share? - a611bc41-fd5f-4f91-a277-3b0a260c7401,How satisfied were you with the ease of the application process? - 513b2b55-b818-4f03-bf6f-e82b180c9e60
44446,44475,9634e45ab246f79c8f640fe2509b12097750f7d2146704ee22cba5232108c281,804f653e-7f81-4eb8-9a36-092239e2a1db,Customer Team,Sales,Permanent,Singapore (Remote),applied,Job site,Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Underqualified,44460,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Account Manager,Victor Leong Wei De,Ben Achirn,,,,,44446,,44447,,,,,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied
44453,44473,ca474dd108a091de2b8eff5e3367d0dc7a4968153c9d8ed583ca5b55edbaa457,93c73815-b43d-4240-b8e7-7d42ac9e4673,People,People,Permanent,London (Remote),sourced,Training Provider - No fee,Offer,offer,Hired,44469,Adam Bolton,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Leadership Development Business Partner,Adam Bolton,,,44453,,,,,,,,,,44453,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,Nothing to change or improve - very enjoyable throughout!,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied
44449,44473,e8a6bd47a76d5f20310365c57e4a1a98ff576c86948a99f814422fa13d92c9f7,8637a377-da65-4dd4-827b-9b03119128bd,Post Transaction Monitoring,Compliance,Permanent,London (Remote),applied,Job site,2nd Round,d916df5f-d436-4fc4-a7e7-c798f763fb9a,Culture Fit,44469,Eleanor Barter,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Compliance Analyst,Gabrielle Wheeler,Eleanor Barter,,,,,44449,44449,,,44449,44463,,,4 - Satisfied,5 - Very satisfied,5 - Very satisfied,Maybe some information on the different types of scenario based question. And also how indepth the answers ought to be.,5 - Very satisfied,4 - Satisfied,4 - Satisfied,4 - Satisfied,5 - Very satisfied,Eleanor was so pleasant and thorough. I would love to work in her team in the future.,4 - Satisfied
44461,44482,41ecc60e44dfbe9775118497fbe5a22e9a2d057c1a5b58331e1091b825e89aa1,c0f92ae1-87bb-45d9-9a92-88c8fc75e93e,Banking & Partnerships,Banking,Permanent,Singapore (Remote),applied,"Job site,new",Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Underqualified,44473,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,"Director, Bank & Platform Partners",Victor Leong Wei De,Ola Malomo,,,,,44461,,44461,,,,,,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,,5 - Very satisfied,3 - Neutral,4 - Satisfied,5 - Very satisfied,5 - Very satisfied,,4 - Satisfied
44462,44475,5d5d0a20d6700c1b1402a05ed435b96e63a9b3971d82c327713f71895a79a867,804f653e-7f81-4eb8-9a36-092239e2a1db,Customer Team,Sales,Permanent,Singapore (Remote),applied,Job site,Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Underqualified,44474,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Account Manager,Victor Leong Wei De,Ben Achirn,,,,,44462,,44462,,,,,,3 - Neutral,3 - Neutral,2 - Dissatisfied,"It would be nice that hirer explain the company and objective instead of expecting interviewee has knowledge of the industry or experience. If so, do better screening before setting up the interview in prevention of wasting each other's time. ",3 - Neutral,3 - Neutral,3 - Neutral,1 - Very dissatisfied,2 - Dissatisfied,,3 - Neutral
44424,44489,e017320574cb53de92b0b4dd3df51506a5ccee2518f9d072c36e4db9fb553f2a,9d0924e3-799c-477d-a607-30e0f804192a,New Business - EMEA,Sales,Fixed Term Contract,London (Remote),applied,"Job site,new",1st Round,3e6e2cc3-5186-4bd0-8840-126842b3272e,Unresponsive,44475,Zoe Keevash,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Sales Development Representative (French speaking),Zoe Keevash,Fumbi Banjoko,,,,,44424,,44426,44425,44434,,,,4 - Satisfied,5 - Very satisfied,5 - Very satisfied,Making the process go faster ,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,5 - Very satisfied,No - the interviewers were very professional ,5 - Very satisfied
44461,44477,6e5254ff011823cb6964ba58db34f0e0cdcadbefc34a8ba4edda86ae030b8e9b,83959357-a3c7-4f87-b28f-ebc4cfb69b63,Talent,People,Permanent,New York (Remote),applied,"Job site,new",Hiring Manager Screen,0e5db96f-b0bf-4cc8-8908-be1a68b35af6,Position closed,44476,Adam Bolton,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,HR / Talent Acquisition Specialist,Adam Bolton,Adam Bolton,,,,,44461,,44463,44468,,,,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,"Cannot think of any improvements.
The candidate journey and pack are great!",5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,"Currencycloud sounds like a wonderful place to work.
",5 - Very satisfied
44460,44481,2e6632510287b537690ec78a8f45aaf910080436cd48f83004a6ab7379896412,c0f92ae1-87bb-45d9-9a92-88c8fc75e93e,Banking & Partnerships,Banking,Permanent,Singapore (Remote),applied,Job site,Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Underqualified,44480,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,"Director, Bank & Platform Partners",Victor Leong Wei De,Ola Malomo,,,,,44460,,44461,,,,,,4 - Satisfied,4 - Satisfied,4 - Satisfied,,4 - Satisfied,4 - Satisfied,4 - Satisfied,4 - Satisfied,4 - Satisfied,,4 - Satisfied
44466,44481,bf99ad8137770ea04570dbb709b3c288143e7effbdcfb9b19fcb62e056c54029,a7e3f4ea-20ca-4f52-9b8b-70c5d1f114c1,Growth,Growth,Permanent,Singapore (Remote),applied,Job site,Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Underqualified,44480,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Business Analyst,Victor Leong Wei De,Rohit Narang,,,,,44466,,44466,,,,,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,3 - Neutral,4 - Satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied
44462,44481,30a40e43a5176d10f5fb78b9fabd2f5c57f6f006765ffec3b0c02383222287c6,e6a6436e-c624-4223-a25f-870004c885e1,Solutions Team,Sales,Permanent,Singapore (Remote),applied,"Job site,new",Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Underqualified,44480,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Lead Solutions Architect,Victor Leong Wei De,Ian Beth,,,,,44462,,44467,,,,,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied
44404,44481,2893a40240f78502f6d531dd81a029bf9896a636b47bdb9202f93bfa5c1df4d9,aa066666-3661-4ab5-b174-d1f9048668bc,Marketing,Marketing,Permanent,Singapore (Remote),applied,LinkedIn,Offer,offer,Hired,44480,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Marketing Manager,Victor Leong Wei De,Jody Aldridge,,44404,,,,,,,,,44404,44426,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,5 - Very satisfied,,5 - Very satisfied
44461,44481,1f8e0452ca2c004e4c6f477258a5faa05d82c47085e9daae35f6ce6b1f9879f1,6a83b42e-0acd-4612-a17f-04593b35e2e1,Product,Product,Permanent,UK (Remote),sourced,LinkedIn,Offer,offer,Hired,44480,Jake Pedlingham,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Technical Agile Delivery Manager (Remote),Jake Pedlingham,Jenna Grierson,,44461,,,,,44461,44461,44468,44474,44477,44477,4 - Satisfied,5 - Very satisfied,5 - Very satisfied,"During first interview, would be good if CurrencyCloud covered their current vision & goals. Candidates could then qualify whether or not the business/role/challenges the company is experiencing is for them, also helps build a connection with the brand - beneficial during current market where applicants are most likely interviewing with multiple companies at the same time, potentially. ",5 - Very satisfied,5 - Very satisfied,4 - Satisfied,4 - Satisfied,5 - Very satisfied,"Encouraged by the thoroughness of interview process, questions explored a broad range of topics within my specialism - some people would be put off by the number of questions, depth and pace at times, however personally it gave me confidence that CC don’t just hire anyone and showed that the interviewers themselves have great domain and knowledge of what good looks like for the advertised role - It’s good to have benchmark/high standards. 

Interviewers were professional, respectful, friendly at all times which helped to reduce a little bit of the interview nerves and encourage better answers from myself - good balance between structured questions and free flowing conversation. Interviewers always left time for me to ask questions at the end of each round and gave clear, honest answers.

Liked the fact that I also spoke with another delivery manager and someone from engineering during the process. 

Communication excellent, Jake and interviewers (Stu) followed up quickly after each round to schedule the next one and were accommodating of my existing work schedule and personal commitments. 

Big thanks to Jake for connecting on LinkedIn, answering my initial questions pre interview process and for generally being really helpful and friendly during the offer stage. 

Very much looking forward to joining CurrencyCloud. Good work. ",4 - Satisfied
44461,44482,af62359ad22e5bd466e2586d0e01e60a742b638d3b55416748282688242e0aea,9d0924e3-799c-477d-a607-30e0f804192a,New Business - EMEA,Sales,Fixed Term Contract,London (Remote),applied,"LinkedIn,Job site",1st Round,3e6e2cc3-5186-4bd0-8840-126842b3272e,Culture Fit,44481,Zoe Keevash,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Sales Development Representative (French speaking),Zoe Keevash,Fumbi Banjoko,,,,,44461,,44461,44474,44475,,,,3 - Neutral,4 - Satisfied,2 - Dissatisfied,,4 - Satisfied,1 - Very dissatisfied,3 - Neutral,3 - Neutral,3 - Neutral,The feedback was not aligned with the background of some candidates ,3 - Neutral
44474,44483,5250b2c4481e99354d34d62c6703918337a8a0bdc2ebd90eb51d435001e5b924,e6a6436e-c624-4223-a25f-870004c885e1,Solutions Team,Sales,Permanent,Singapore (Remote),applied,Job site,Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Salary Expectations,44482,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Lead Solutions Architect,Victor Leong Wei De,Ian Beth,,,,,44474,,44476,,,,,,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,,4 - Satisfied,4 - Satisfied,4 - Satisfied,4 - Satisfied,5 - Very satisfied,"This feedback would be more applicable when all the interviews are done.
",4 - Satisfied
