Applied On,Collected On,Anonymized Contact ID,Posting ID,Team,Department,Commitment / Work Type,Location,Origin,Sources,Current Stage,Current Stage ID,Application Archive Reason,Application Archived On,Application Archived By,Survey Id,Survey Name,Survey Location Type,Posting Title,Posting Owner,Posting Hiring Manager,Candidate Selected Location,Stage - New lead,Stage - Reached out,Stage - Responded,Stage - New applicant,Stage - Under review,Stage - Recruiter Screen,Stage - Hiring Manager Screen,Stage - 1st Round,Stage - 2nd Round,Stage - Decision,Stage - Offer,How satisfied were you with your Screening call? - de09e7f8-4e8c-498d-9ccb-237788b735d0,How satisfied are you with the way you were treated? - 05c18285-2750-479f-8afc-d560b66f552c,"Overall, how satisfied were you with your interviewing experience? - 693b0a81-d4e7-40a2-9135-7fc38fa43eaf",What suggestions would you make to improve our interview process? - 21866cc4-7d8f-47da-97df-9efdfcbe083d,How satisfied are you with your interviews with the Hiring Manager and Team? - 605b085d-5bba-4668-babc-17dc8304e06c,How satisfied were you with the interview feedback you received? - e30211c6-d32d-4f89-95fc-dfb91bb47033,How satisfied are you with the ease of the application process? - 513b2b55-b818-4f03-bf6f-e82b180c9e60,How satisfied were you with the interview materials you received? - 4158aafc-ce92-4d35-930f-2f5451455a4d,How satisfied were you with our communication during the recruiting process? - e8c5e9ae-38de-4acb-855c-8d18039b1f5c,Do you have any thoughts or comments that you would like to share? - a611bc41-fd5f-4f91-a277-3b0a260c7401,How satisfied were you with the ease of the application process? - 513b2b55-b818-4f03-bf6f-e82b180c9e60
44453,44483,e951e71a462cfbe8f9f9d7e4369b06a01c399963a1b2c45bb3fa8837ce0f5372,652a9fa2-7c81-42fd-b85e-d194016a72ca,Customer Team,Sales,Permanent,USA (Remote),applied,Job site,1st Round,3e6e2cc3-5186-4bd0-8840-126842b3272e,Underqualified,44482,Zoe Keevash,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Customer Success Manager (Fintech),Arlyne Audige,Tony Cerbone,,,,,44453,,44454,44460,44465,,,,4 - Satisfied,4 - Satisfied,1 - Very dissatisfied,"Communication can be worked on in terms of the recruitment process, providing the correct feedback and being more transparent. The interview process was drawn out unnecessarily, receiving feedback if you are lucky once every other week, not sure where you are standing and not knowing if you are being considered or not. I had to do all of the follow up all of the time, I understand that I am the one looking for employment but keeping everyone on the same page is essential. It says a lot about how professional a company is. As a prospective employee the employer wants you to be prepared and know about their services/products and I am always prepared and give my best during an interview. The least the employer can do is by giving proper and honest feedback, it will show that honesty and integrity is part of the company.",4 - Satisfied,1 - Very dissatisfied,1 - Very dissatisfied,4 - Satisfied,1 - Very dissatisfied,"The lack of transparency, professionalism and communication left a bad taste in my mouth. Do not flatter yourself and think that my negative feedback is me being disgruntled, I am not, I am just concerned that you overlook other prospective talented employees, don't let them slip through your fingers. ",1 - Very dissatisfied
44468,44482,e59be1cf71d3565f80e58df21b74301e4426c3f4ad0ccd62d3380a671b7195b3,e0ae3032-e732-4f04-9de1-4e4c13ad48e2,Software Development,Technology,Permanent,London (Remote),applied,"Job site,new",Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Underqualified,44482,Jake Pedlingham,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Engineering Manager (Remote),Jake Pedlingham,Jose Pettoruti,,,,,44468,,44476,44476,,,,,4 - Satisfied,3 - Neutral,3 - Neutral,probably your surveys should only show relevant questions... some of these do not apply as they never happened.,3 - Neutral,3 - Neutral,4 - Satisfied,4 - Satisfied,4 - Satisfied,,4 - Satisfied
44437,44483,4921d9fc13066d332862959476ad6a436591a717dc1cc49cf82b9cca9ce016e9,83959357-a3c7-4f87-b28f-ebc4cfb69b63,Talent,People,Permanent,New York (Remote),applied,"Job site,new",Offer,offer,Hired,44483,Adam Bolton,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,HR / Talent Acquisition Specialist,Adam Bolton,Adam Bolton,,44476,,,44437,,44448,44459,44463,44467,44473,44476,4 - Satisfied,5 - Very satisfied,4 - Satisfied,The process was quick and seamless,5 - Very satisfied,4 - Satisfied,4 - Satisfied,3 - Neutral,5 - Very satisfied,I appreciated how swift the process went. ,4 - Satisfied
44465,44487,46fedf176452f80680a5b9a70969e471615f23884733b45445d962429481da7e,804f653e-7f81-4eb8-9a36-092239e2a1db,Customer Team,Sales,Permanent,Singapore (Remote),applied,"Job site,new",Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Underqualified,44487,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Account Manager,Victor Leong Wei De,Ben Achirn,,,,,44465,,44466,44480,,,,,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,,4 - Satisfied,4 - Satisfied,5 - Very satisfied,4 - Satisfied,4 - Satisfied,,5 - Very satisfied
44464,44490,7e70ee3d5d9c9ef499db025ddd622815368c1e4c8138a1916f6d0013df12fa04,c0f92ae1-87bb-45d9-9a92-88c8fc75e93e,Banking & Partnerships,Banking,Permanent,Singapore (Remote),applied,"Job site,new",Hiring Manager Screen,0e5db96f-b0bf-4cc8-8908-be1a68b35af6,Salary Expectations,44488,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,"Director, Bank & Platform Partners",Victor Leong Wei De,Ola Malomo,,,,,44464,,44468,44475,,,,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,I had a screening interview only and did not proceed beyond this due to the reasons shared around seniority and overall comp. of the role - hence questions around hiring manager interview and process have not been answered,0 - Prefer not to answer,5 - Very satisfied,5 - Very satisfied,0 - Prefer not to answer,5 - Very satisfied,Hope to speak soon on other forthcoming opportunities!,5 - Very satisfied
44463,44489,cb9b7fd77864d0a4d33c416933f2d641b150baada065e6a629a66e22c0cf2440,c0f92ae1-87bb-45d9-9a92-88c8fc75e93e,Banking & Partnerships,Banking,Permanent,Singapore (Remote),applied,"Job site,new",Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Underqualified,44488,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,"Director, Bank & Platform Partners",Victor Leong Wei De,Ola Malomo,,,,,44463,,44468,,,,,,4 - Satisfied,5 - Very satisfied,5 - Very satisfied,,3 - Neutral,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,The most put together pre interview process and knowing whom I’m meeting and the whole process. ,5 - Very satisfied
44463,44489,889254ed5ba3e3389c371adc90812904e610fc8509a166f34f5f5034cbdd97ba,6a83b42e-0acd-4612-a17f-04593b35e2e1,Product,Product,Permanent,UK (Remote),sourced,Added manually,Hiring Manager Screen,0e5db96f-b0bf-4cc8-8908-be1a68b35af6,Underqualified,44488,Jake Pedlingham,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Technical Agile Delivery Manager (Remote),Jake Pedlingham,Jenna Grierson,,44463,,,,,44463,44463,,,,,5 - Very satisfied,1 - Very dissatisfied,2 - Dissatisfied,"Haven't received any interview feedback. But the hiring manager not turning in his camera to even introduce himself, then going off camera if absolutly needed.This had me thinking I should have stopped the interview at the start of the process. I wasn't interested from that point on and my replies reflected that a pitty the organisation itself and process of recruitment was very good, let down by an individual here and my performance reflected that. I believe everyone should have freedom to go off camera absolutly but not in an interview situation 1-2-1. ",1 - Very dissatisfied,2 - Dissatisfied,4 - Satisfied,5 - Very satisfied,5 - Very satisfied,Is you head of product perhaps disinterested and moving on soon? ,4 - Satisfied
44477,44489,1fe313ac04683faf3c1b890573ad031fa20a049975a7818fa8bea767a7d8942a,a7b96856-bf06-4c67-ba56-5acf1d335eff,Insights,Compliance,Permanent,Cardiff (Remote),referred,Referral,Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Salary Expectations,44488,Daniyal Bashir,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Data Analyst,Daniyal Bashir,,,,,,44477,,44482,,,,,,4 - Satisfied,4 - Satisfied,4 - Satisfied,,4 - Satisfied,5 - Very satisfied,4 - Satisfied,5 - Very satisfied,4 - Satisfied,,4 - Satisfied
44467,44488,5d34dfccb0ae65ecd487cf285bce7a081c0c9acf124acdd0670439d828f4fa15,5dd5ba7a-4b02-4832-b9e9-ebfb79025e34,Product,Product,Permanent,UK (Remote),sourced,Added manually,1st Round,3e6e2cc3-5186-4bd0-8840-126842b3272e,Underqualified,44488,Jake Pedlingham,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Technical Product Manager (Remote),Jake Pedlingham,Stuart Bailey,,44467,,,,,44467,44467,44474,,,,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,"very generic feedback for all effort invested in the process, more specific reasons would help the candidate.",5 - Very satisfied,2 - Dissatisfied,3 - Neutral,5 - Very satisfied,4 - Satisfied,,3 - Neutral
44476,44494,3906cc888354f717a1881f9af4572791252db7948868e1ab5807904e91532763,c0f92ae1-87bb-45d9-9a92-88c8fc75e93e,Banking & Partnerships,Banking,Permanent,Singapore (Remote),applied,"Job site,new",Hiring Manager Screen,0e5db96f-b0bf-4cc8-8908-be1a68b35af6,Underqualified,44491,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,"Director, Bank & Platform Partners",Victor Leong Wei De,Ola Malomo,,,,,44476,,44477,44488,,,,,4 - Satisfied,4 - Satisfied,,,4 - Satisfied,4 - Satisfied,4 - Satisfied,4 - Satisfied,4 - Satisfied,,4 - Satisfied
44459,44495,e5e1ee3727832f1396b971b7680b852a3900ace54c7b683abe83f2a9b66934ff,c9b13440-c4b8-40ee-b87c-a4904fbd3de5,Software Development,Technology,Permanent,UK (Remote),sourced,Added manually,1st Round,3e6e2cc3-5186-4bd0-8840-126842b3272e,Underqualified,44494,Jake Pedlingham,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Scala Engineer (Remote),Jake Pedlingham,Jose Pettoruti,,44459,,,,,44460,44460,44476,,,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,,5 - Very satisfied
44475,44496,b525ec014317e153bc8abaa4f19425a3ecb9981af6a71d360f3265aeb0677aff,7617dc73-a4ce-4d17-9fad-9545f7887fbf,New Business - North America,Sales,Permanent,USA (Remote),applied,"LinkedIn,Job site",Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Underqualified,44495,Arlyne Audige,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Account Executive (Payments/Fintech),Arlyne Audige,Dave Heitzmann,,,,,44475,,44476,,,,,,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,There needs to be a way to reschedule an appointment that has already been scheduled.  The reschedule process does not seem to exist.,3 - Neutral,2 - Dissatisfied,3 - Neutral,3 - Neutral,2 - Dissatisfied,,3 - Neutral
44462,44496,b60afc819add0afb0e3a4a77647c5233aef67a8eef27d93f4b263ce56944e4f5,3bd91144-a52a-4721-8541-fa896ec5d3f6,Software Development,Technology,Permanent,UK (Remote),referred,Referral,Offer,offer,Hired,44495,Jake Pedlingham,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Senior Java Engineer (Remote),Jake Pedlingham,Jose Pettoruti,,,,,44462,,44463,44463,44476,44483,44490,44490,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,"Overall, the process felt quite long, but ultimately I think it was important to cover the ground that they did. There was the option to combine some sessions to reduce the number of different sessions required, but I wasn't personally able to book more than one at a time for the most part due to constraints on my own time or availability of interviewers. 

One potential suggestion would be to try to potentially combine some of the sessions by default, potentially by shortening the time required for each as I typically found there was a quite a bit of time at the end for questions. For example, a couple of the technical interviews could be combined, or the last two. It may be particularly feasible if one interviewer is able to cover multiple areas, though this has the effect that the candidate gets to meet fewer potential colleagues.",5 - Very satisfied,5 - Very satisfied,0 - Prefer not to answer,5 - Very satisfied,5 - Very satisfied,"Overall, the interview process was very positive, touched on a considerable number of different areas and gave me a lot of chances to ask questions. Everyone I met was very friendly and approachable, which gave me a really good impression of the company as a whole.

My answer to the first question around the application process is ""prefer not to answer"" as I was referred by an existing employee, so I managed to bypass most of the application process.",0 - Prefer not to answer
44483,44497,f0d11be01190c00b483b87f1b96e81d74a99cf82a1b1cf18a6af31a6eeca014a,33298610-3bd1-4f4e-8c47-6d26ca0cfb3a,Product,Product,Permanent,Singapore (Remote),applied,Job site,Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Underqualified,44496,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Product Manager (APAC),Victor Leong Wei De,Elisa Monacchi,,,,,44483,,44490,,,,,,4 - Satisfied,4 - Satisfied,4 - Satisfied,Shorter rounds of interview process if hirers could simply interview in one round or at most two rounds. That would be awesome. ,4 - Satisfied,4 - Satisfied,4 - Satisfied,4 - Satisfied,4 - Satisfied,"Everyone has strength and weakness. If hirers have decided to select a potential candidate, focus on their strength and think of how candidate could fit into the picture as a team.",4 - Satisfied
44482,44497,704de3498f7ae7ed55942e257effd08de7c76636527a4998696d4dc89f7ecb99,c9cda8de-be57-4721-a761-caa486d56013,Talent,People,Permanent,London (Remote),agency,AldersonJames,Offer,offer,Hired,44496,Adam Bolton,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Talent Acquisition Specialist Compliance,Adam Bolton,Adam Bolton,,,,,44482,,,44482,44487,44490,44495,44495,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,"Don't think there's anything else I can add here. It's a nice, simple and straightforward process and timely. If this can be replicated across your entire interview process you'll have a great system in place. ",5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,5 - Very satisfied,,5 - Very satisfied
44447,44500,277025aeb7bc6ab62b0f4c040c0d9757008a3fbd2a01b342a22b370031f09328,e46ba9ac-6948-421b-8d84-22d2b260ba60,Client Review,Compliance,Permanent,Cardiff (Remote),applied,Job site,Hiring Manager Screen,0e5db96f-b0bf-4cc8-8908-be1a68b35af6,Underqualified,44497,Jill Meek,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Compliance Analyst,Gabrielle Wheeler,Jill Meek,,,,,44447,,,44455,,,,,1 - Very dissatisfied,1 - Very dissatisfied,1 - Very dissatisfied,Had interview then heard nothing back ,1 - Very dissatisfied,1 - Very dissatisfied,4 - Satisfied,1 - Very dissatisfied,1 - Very dissatisfied,Treated poorly through the interview process. Interview person was nice but it went quiet after that ,4 - Satisfied
44473,44498,45f2fc2eb50c0bac2571e14b053723da26c30b363a3df8e56e82e8f624e40097,a8f9c2b8-3b25-4ef7-b6f7-3e3d1b7c1a01,Solutions Team,Sales,Permanent,London (Remote),applied,Job site,Hiring Manager Screen,0e5db96f-b0bf-4cc8-8908-be1a68b35af6,Underqualified,44497,Zoe Keevash,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Presales Implementation Consultant (pre/post sales) (Spanish speaking),Zoe Keevash,Mark Lynch,,,,,44473,,44474,44480,,,,,4 - Satisfied,4 - Satisfied,3 - Neutral,"The interviewer had little chance to understand my experience, looking at the feedback provided. To synthetize a whole solution implementation lifecycle in 25 mins and unable to focus on details, makes it a gamble where worse candidates can just spell some keywords and get through. The recruitment materials should be much more customized to the role advertised. The package and perks should be clarified up front for the candidate to be able to do his overall rewards calculations, due to tax impacts ",3 - Neutral,2 - Dissatisfied,4 - Satisfied,3 - Neutral,3 - Neutral,"The role i was told was a full implementation consultant whole lifecycle, then the one i have got the impression i was really for was more a Sales one. Not sure whether that was due to the current composition of the team and their internal needs",4 - Satisfied
44462,44500,dd1f040a41b5e4d0bdfebcf735b7ec2d299d9791aefd988368aa9a58eaba7e0e,804f653e-7f81-4eb8-9a36-092239e2a1db,Customer Team,Sales,Permanent,Singapore (Remote),applied,"Job site,new",Hiring Manager Screen,0e5db96f-b0bf-4cc8-8908-be1a68b35af6,Underqualified,44498,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Account Manager,Victor Leong Wei De,Ben Achirn,,,,,44462,,44463,44480,,,,,4 - Satisfied,4 - Satisfied,4 - Satisfied,,4 - Satisfied,4 - Satisfied,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,,5 - Very satisfied